Pedestrian ID: 3_1_220, Critical Frame: 1560, int_bin: 1
Pedestrian ID: 3_1_221, Critical Frame: 1833, int_bin: 1
Pedestrian ID: 3_1_222, Critical Frame: 1833, int_bin: 1
Pedestrian ID: 3_1_223, Critical Frame: 2173, int_bin: 1
Pedestrian ID: 3_1_224, Critical Frame: 2808, int_bin: 1
Pedestrian ID: 3_1_225, Critical Frame: 2821, int_bin: 1
Pedestrian ID: 3_1_226, Critical Frame: 2825, int_bin: 1
Pedestrian ID: 3_1_227, Critical Frame: 2825, int_bin: 1
Pedestrian ID: 3_1_228, Critical Frame: 2829, int_bin: 1
Pedestrian ID: 3_1_229, Critical Frame: 2817, int_bin: 1
Pedestrian ID: 3_1_230, Critical Frame: 3249, int_bin: 1
Pedestrian ID: 3_1_231, Critical Frame: 3260, int_bin: 1
Pedestrian ID: 3_1_232, Critical Frame: 3434, int_bin: 1
Pedestrian ID: 3_1_233, Critical Frame: 3470, int_bin: 1
Pedestrian ID: 3_1_234, Critical Frame: 3470, int_bin: 1
Pedestrian ID: 3_1_235, Critical Frame: 3620, int_bin: 1
Pedestrian ID: 3_1_236, Critical Frame: 4340, int_bin: 0
Pedestrian ID: 3_1_237, Critical Frame: 7238, int_bin: 1
Pedestrian ID: 3_1_239, Critical Frame: 7204, int_bin: 1
Pedestrian ID: 3_1_241, Critical Frame: 7230, int_bin: 1
Pedestrian ID: 3_1_242, Critical Frame: 7330, int_bin: 1
Pedestrian ID: 3_1_243, Critical Frame: 8565, int_bin: 1
Pedestrian ID: 3_1_244, Critical Frame: 8540, int_bin: 1
Pedestrian ID: 3_1_245, Critical Frame: 8705, int_bin: 1
Pedestrian ID: 3_1_246, Critical Frame: 8705, int_bin: 1
Pedestrian ID: 3_1_247, Critical Frame: 8780, int_bin: 0
Pedestrian ID: 3_1_248, Critical Frame: 9076, int_bin: 0
Pedestrian ID: 3_1_249, Critical Frame: 9136, int_bin: 1
Pedestrian ID: 3_1_250, Critical Frame: 9147, int_bin: 1
