Step 0 (1284 ms) -- loss_pure: 10.0796, loss_model: 9.1150, loss_noise: 0.9647, loss: 10.3063, learning_rate: 0.0300
Step 1 (113 ms) -- loss_pure: 37.5468, loss_model: 8.8695, loss_noise: 28.6773, loss: 37.7736, learning_rate: 0.0300
Step 2 (123 ms) -- loss_pure: 9.8064, loss_model: 8.8806, loss_noise: 0.9258, loss: 10.0415, learning_rate: 0.0300
Step 3 (154 ms) -- loss_pure: 43.8501, loss_model: 9.2332, loss_noise: 34.6168, loss: 44.1071, learning_rate: 0.0300
Step 4 (133 ms) -- loss_pure: 69.3223, loss_model: 9.1409, loss_noise: 60.1813, loss: 69.6106, learning_rate: 0.0300
Step 5 (128 ms) -- loss_pure: 46.9482, loss_model: 8.9662, loss_noise: 37.9820, loss: 47.2746, learning_rate: 0.0300
Step 6 (140 ms) -- loss_pure: 32.5666, loss_model: 9.3184, loss_noise: 23.2482, loss: 32.9355, learning_rate: 0.0300
Step 7 (120 ms) -- loss_pure: 34.0500, loss_model: 8.9356, loss_noise: 25.1144, loss: 34.4639, learning_rate: 0.0300
Step 8 (122 ms) -- loss_pure: 11.2598, loss_model: 9.1074, loss_noise: 2.1524, loss: 11.7197, learning_rate: 0.0300
Step 9 (135 ms) -- loss_pure: 41.8537, loss_model: 8.9585, loss_noise: 32.8952, loss: 42.3600, learning_rate: 0.0300
Step 10 (128 ms) -- loss_pure: 9.9870, loss_model: 8.9289, loss_noise: 1.0582, loss: 10.5390, learning_rate: 0.0300
Step 11 (126 ms) -- loss_pure: 74.4098, loss_model: 9.0792, loss_noise: 65.3306, loss: 75.0063, learning_rate: 0.0300
Step 12 (127 ms) -- loss_pure: 12.1871, loss_model: 9.0791, loss_noise: 3.1080, loss: 12.8271, learning_rate: 0.0300
Step 13 (115 ms) -- loss_pure: 76.7495, loss_model: 9.4052, loss_noise: 67.3443, loss: 77.4314, learning_rate: 0.0300
Step 14 (124 ms) -- loss_pure: 41.9299, loss_model: 8.9822, loss_noise: 32.9477, loss: 42.6516, learning_rate: 0.0300
Step 15 (122 ms) -- loss_pure: 12.7400, loss_model: 9.1571, loss_noise: 3.5829, loss: 13.4994, learning_rate: 0.0300
Step 16 (119 ms) -- loss_pure: 42.9919, loss_model: 9.0531, loss_noise: 33.9388, loss: 43.7871, learning_rate: 0.0300
Step 17 (116 ms) -- loss_pure: 38.5879, loss_model: 9.2077, loss_noise: 29.3803, loss: 39.4167, learning_rate: 0.0300
Step 18 (122 ms) -- loss_pure: 80.8714, loss_model: 9.3781, loss_noise: 71.4932, loss: 81.7315, learning_rate: 0.0300
Step 19 (122 ms) -- loss_pure: 32.9981, loss_model: 9.2551, loss_noise: 23.7430, loss: 33.8876, learning_rate: 0.0300
Step 20 (121 ms) -- loss_pure: 45.2922, loss_model: 9.0282, loss_noise: 36.2640, loss: 46.2091, learning_rate: 0.0300
Step 21 (125 ms) -- loss_pure: 87.3202, loss_model: 9.1658, loss_noise: 78.1545, loss: 88.2628, learning_rate: 0.0300
Step 22 (134 ms) -- loss_pure: 29.1244, loss_model: 9.0766, loss_noise: 20.0479, loss: 30.0906, learning_rate: 0.0300
Step 23 (118 ms) -- loss_pure: 32.9326, loss_model: 9.1285, loss_noise: 23.8041, loss: 33.9208, learning_rate: 0.0300
Step 24 (131 ms) -- loss_pure: 20.3900, loss_model: 9.2810, loss_noise: 11.1090, loss: 21.3988, learning_rate: 0.0300
Step 25 (117 ms) -- loss_pure: 46.1356, loss_model: 9.2501, loss_noise: 36.8855, loss: 47.1639, learning_rate: 0.0300
Step 26 (125 ms) -- loss_pure: 68.8257, loss_model: 9.2046, loss_noise: 59.6211, loss: 69.8722, learning_rate: 0.0300
Step 27 (117 ms) -- loss_pure: 19.7380, loss_model: 8.8841, loss_noise: 10.8539, loss: 20.8019, learning_rate: 0.0300
Step 28 (113 ms) -- loss_pure: 26.2210, loss_model: 8.8290, loss_noise: 17.3920, loss: 27.3017, learning_rate: 0.0300
Step 29 (115 ms) -- loss_pure: 31.8556, loss_model: 9.0373, loss_noise: 22.8183, loss: 32.9529, learning_rate: 0.0300
Step 30 (115 ms) -- loss_pure: 54.2121, loss_model: 9.4556, loss_noise: 44.7565, loss: 55.3256, learning_rate: 0.0300
Step 31 (149 ms) -- loss_pure: 45.5202, loss_model: 9.1658, loss_noise: 36.3544, loss: 46.6491, learning_rate: 0.0300
Step 32 (130 ms) -- loss_pure: 86.5080, loss_model: 8.9144, loss_noise: 77.5937, loss: 87.6519, learning_rate: 0.0300
Step 33 (117 ms) -- loss_pure: 65.0321, loss_model: 9.0944, loss_noise: 55.9377, loss: 66.1905, learning_rate: 0.0300
Step 34 (128 ms) -- loss_pure: 91.2026, loss_model: 8.9701, loss_noise: 82.2326, loss: 92.3751, learning_rate: 0.0300
Step 35 (125 ms) -- loss_pure: 70.2391, loss_model: 8.9476, loss_noise: 61.2915, loss: 71.4257, learning_rate: 0.0300
Step 36 (121 ms) -- loss_pure: 43.1953, loss_model: 9.3630, loss_noise: 33.8322, loss: 44.3969, learning_rate: 0.0300
Step 37 (124 ms) -- loss_pure: 53.2156, loss_model: 8.7467, loss_noise: 44.4690, loss: 54.4336, learning_rate: 0.0300
Step 38 (130 ms) -- loss_pure: 21.5438, loss_model: 9.6232, loss_noise: 11.9206, loss: 22.7791, learning_rate: 0.0300
Step 39 (130 ms) -- loss_pure: 20.8732, loss_model: 8.9399, loss_noise: 11.9333, loss: 22.1264, learning_rate: 0.0300
Step 40 (125 ms) -- loss_pure: 19.9269, loss_model: 8.8070, loss_noise: 11.1199, loss: 21.1983, learning_rate: 0.0300
Step 41 (135 ms) -- loss_pure: 79.8016, loss_model: 8.8566, loss_noise: 70.9450, loss: 81.0909, learning_rate: 0.0300
Step 42 (126 ms) -- loss_pure: 97.8700, loss_model: 9.2373, loss_noise: 88.6327, loss: 99.1770, learning_rate: 0.0300
Step 43 (129 ms) -- loss_pure: 97.3911, loss_model: 9.3631, loss_noise: 88.0281, loss: 98.7159, learning_rate: 0.0300
Step 44 (119 ms) -- loss_pure: 72.3094, loss_model: 9.1392, loss_noise: 63.1702, loss: 73.6520, learning_rate: 0.0300
Step 45 (120 ms) -- loss_pure: 13.4303, loss_model: 8.8647, loss_noise: 4.5656, loss: 14.7905, learning_rate: 0.0300
Step 46 (121 ms) -- loss_pure: 27.6213, loss_model: 8.5556, loss_noise: 19.0656, loss: 28.9991, learning_rate: 0.0300
Step 47 (124 ms) -- loss_pure: 80.2317, loss_model: 9.2391, loss_noise: 70.9925, loss: 81.6268, learning_rate: 0.0300
Step 48 (128 ms) -- loss_pure: 44.9131, loss_model: 9.3279, loss_noise: 35.5852, loss: 46.3252, learning_rate: 0.0300
Step 49 (118 ms) -- loss_pure: 33.3146, loss_model: 9.3799, loss_noise: 23.9347, loss: 34.7431, learning_rate: 0.0300
Step 50 (120 ms) -- loss_pure: 65.2540, loss_model: 8.9853, loss_noise: 56.2687, loss: 66.6985, learning_rate: 0.0300
Step 51 (136 ms) -- loss_pure: 37.6342, loss_model: 8.8256, loss_noise: 28.8086, loss: 39.0941, learning_rate: 0.0300
Step 52 (141 ms) -- loss_pure: 33.7026, loss_model: 9.1400, loss_noise: 24.5626, loss: 35.1777, learning_rate: 0.0300
Step 53 (127 ms) -- loss_pure: 33.5530, loss_model: 9.4473, loss_noise: 24.1057, loss: 35.0427, learning_rate: 0.0300
Step 54 (119 ms) -- loss_pure: 53.4478, loss_model: 9.3135, loss_noise: 44.1342, loss: 54.9516, learning_rate: 0.0300
Step 55 (122 ms) -- loss_pure: 58.8911, loss_model: 8.9966, loss_noise: 49.8944, loss: 60.4085, learning_rate: 0.0300
Step 56 (120 ms) -- loss_pure: 25.6483, loss_model: 9.1239, loss_noise: 16.5244, loss: 27.1807, learning_rate: 0.0300
Step 57 (128 ms) -- loss_pure: 44.1047, loss_model: 8.8967, loss_noise: 35.2080, loss: 45.6540, learning_rate: 0.0300
Step 58 (126 ms) -- loss_pure: 89.1703, loss_model: 9.0875, loss_noise: 80.0828, loss: 90.7380, learning_rate: 0.0300
Step 59 (132 ms) -- loss_pure: 110.9321, loss_model: 9.0660, loss_noise: 101.8662, loss: 112.5192, learning_rate: 0.0300
Step 60 (119 ms) -- loss_pure: 139.2030, loss_model: 9.1312, loss_noise: 130.0717, loss: 140.8099, learning_rate: 0.0300
Step 61 (111 ms) -- loss_pure: 135.9041, loss_model: 9.2041, loss_noise: 126.7000, loss: 137.5309, learning_rate: 0.0300
Step 62 (123 ms) -- loss_pure: 169.9442, loss_model: 8.5878, loss_noise: 161.3564, loss: 171.5904, learning_rate: 0.0300
Step 63 (142 ms) -- loss_pure: 234.7387, loss_model: 8.8554, loss_noise: 225.8833, loss: 236.4036, learning_rate: 0.0300
Step 64 (127 ms) -- loss_pure: 243.3656, loss_model: 8.9667, loss_noise: 234.3989, loss: 245.0485, learning_rate: 0.0300
Step 65 (119 ms) -- loss_pure: 235.7845, loss_model: 9.3674, loss_noise: 226.4171, loss: 237.4845, learning_rate: 0.0300
Step 66 (118 ms) -- loss_pure: 241.0757, loss_model: 9.0995, loss_noise: 231.9763, loss: 242.7921, learning_rate: 0.0300
Step 67 (128 ms) -- loss_pure: 260.5949, loss_model: 8.5966, loss_noise: 251.9983, loss: 262.3268, learning_rate: 0.0300
Step 68 (115 ms) -- loss_pure: 294.7418, loss_model: 8.9571, loss_noise: 285.7847, loss: 296.4885, learning_rate: 0.0300
Step 69 (124 ms) -- loss_pure: 341.0282, loss_model: 9.0128, loss_noise: 332.0154, loss: 342.7887, learning_rate: 0.0300
Step 70 (127 ms) -- loss_pure: 233.2664, loss_model: 9.3473, loss_noise: 223.9191, loss: 235.0399, learning_rate: 0.0300
Step 71 (119 ms) -- loss_pure: 163.0838, loss_model: 9.2051, loss_noise: 153.8787, loss: 164.8701, learning_rate: 0.0300
Step 72 (109 ms) -- loss_pure: 148.4383, loss_model: 9.5382, loss_noise: 138.9001, loss: 150.2376, learning_rate: 0.0300
Step 73 (128 ms) -- loss_pure: 129.2084, loss_model: 9.2143, loss_noise: 119.9941, loss: 131.0212, learning_rate: 0.0300
Step 74 (120 ms) -- loss_pure: 133.7757, loss_model: 9.3484, loss_noise: 124.4274, loss: 135.6021, learning_rate: 0.0300
Step 75 (112 ms) -- loss_pure: 88.7622, loss_model: 9.0266, loss_noise: 79.7357, loss: 90.6020, learning_rate: 0.0300
Step 76 (114 ms) -- loss_pure: 105.8568, loss_model: 9.1840, loss_noise: 96.6728, loss: 107.7188, learning_rate: 0.0300
Step 77 (117 ms) -- loss_pure: 122.2854, loss_model: 8.7554, loss_noise: 113.5300, loss: 124.1836, learning_rate: 0.0300
Step 78 (124 ms) -- loss_pure: 136.9434, loss_model: 9.0341, loss_noise: 127.9093, loss: 138.8874, learning_rate: 0.0300
Step 79 (126 ms) -- loss_pure: 157.3919, loss_model: 8.9310, loss_noise: 148.4609, loss: 159.3900, learning_rate: 0.0300
Step 80 (124 ms) -- loss_pure: 173.7643, loss_model: 8.9277, loss_noise: 164.8366, loss: 175.8236, learning_rate: 0.0300
Step 81 (120 ms) -- loss_pure: 169.5036, loss_model: 9.1360, loss_noise: 160.3675, loss: 171.6283, learning_rate: 0.0300
Step 82 (122 ms) -- loss_pure: 231.8343, loss_model: 8.9746, loss_noise: 222.8597, loss: 234.0264, learning_rate: 0.0300
Step 83 (120 ms) -- loss_pure: 255.8430, loss_model: 9.2124, loss_noise: 246.6307, loss: 258.1024, learning_rate: 0.0300
Step 84 (121 ms) -- loss_pure: 257.8473, loss_model: 9.7639, loss_noise: 248.0834, loss: 260.1728, learning_rate: 0.0300
Step 85 (121 ms) -- loss_pure: 308.5267, loss_model: 9.1540, loss_noise: 299.3727, loss: 310.9162, learning_rate: 0.0300
Step 86 (116 ms) -- loss_pure: 312.6180, loss_model: 9.2367, loss_noise: 303.3813, loss: 315.0688, learning_rate: 0.0300
Step 87 (116 ms) -- loss_pure: 333.9144, loss_model: 8.9936, loss_noise: 324.9208, loss: 336.4235, learning_rate: 0.0300
Step 88 (135 ms) -- loss_pure: 317.7761, loss_model: 8.9735, loss_noise: 308.8027, loss: 320.3403, learning_rate: 0.0300
Step 89 (131 ms) -- loss_pure: 362.4213, loss_model: 8.8797, loss_noise: 353.5415, loss: 365.0375, learning_rate: 0.0300
Step 90 (116 ms) -- loss_pure: 328.7696, loss_model: 9.2696, loss_noise: 319.5000, loss: 331.4351, learning_rate: 0.0300
Step 91 (125 ms) -- loss_pure: 330.1532, loss_model: 9.0923, loss_noise: 321.0609, loss: 332.8652, learning_rate: 0.0300
Step 92 (124 ms) -- loss_pure: 321.9497, loss_model: 8.9992, loss_noise: 312.9505, loss: 324.7057, learning_rate: 0.0300
Step 93 (130 ms) -- loss_pure: 309.8122, loss_model: 9.2354, loss_noise: 300.5769, loss: 312.6097, learning_rate: 0.0300
Step 94 (122 ms) -- loss_pure: 361.9804, loss_model: 9.7626, loss_noise: 352.2178, loss: 364.8167, learning_rate: 0.0300
Step 95 (121 ms) -- loss_pure: 304.2083, loss_model: 9.5191, loss_noise: 294.6892, loss: 307.0809, learning_rate: 0.0300
Step 96 (126 ms) -- loss_pure: 276.1926, loss_model: 8.9586, loss_noise: 267.2340, loss: 279.0995, learning_rate: 0.0300
