Step 3001 (2863 ms) -- loss_pure: 0.5675, loss: 23563.6230, learning_rate: 0.0300
Step 3002 (212 ms) -- loss_pure: 0.6489, loss: 23562.2891, learning_rate: 0.0300
Step 3003 (193 ms) -- loss_pure: 0.4861, loss: 23560.7129, learning_rate: 0.0300
Step 3004 (195 ms) -- loss_pure: 0.5946, loss: 23559.4082, learning_rate: 0.0300
Step 3005 (221 ms) -- loss_pure: 0.6218, loss: 23558.0215, learning_rate: 0.0300
Step 3006 (188 ms) -- loss_pure: 0.5133, loss: 23556.5000, learning_rate: 0.0300
Step 3007 (194 ms) -- loss_pure: 0.5675, loss: 23555.1406, learning_rate: 0.0300
Step 3008 (215 ms) -- loss_pure: 0.4319, loss: 23553.5918, learning_rate: 0.0300
Step 3009 (178 ms) -- loss_pure: 0.5675, loss: 23552.3125, learning_rate: 0.0300
Step 3010 (188 ms) -- loss_pure: 0.5404, loss: 23550.8750, learning_rate: 0.0300
Step 3011 (183 ms) -- loss_pure: 0.4590, loss: 23549.3789, learning_rate: 0.0300
Step 3012 (195 ms) -- loss_pure: 0.5946, loss: 23548.0996, learning_rate: 0.0300
Step 3013 (201 ms) -- loss_pure: 0.5946, loss: 23546.6875, learning_rate: 0.0300
Step 3014 (180 ms) -- loss_pure: 0.4861, loss: 23545.1660, learning_rate: 0.0300
Step 3015 (181 ms) -- loss_pure: 0.5946, loss: 23543.8613, learning_rate: 0.0300
Step 3016 (192 ms) -- loss_pure: 0.5402, loss: 23542.3945, learning_rate: 0.0300
Step 3017 (191 ms) -- loss_pure: 0.4858, loss: 23540.9297, learning_rate: 0.0300
Step 3018 (170 ms) -- loss_pure: 0.4858, loss: 23539.5176, learning_rate: 0.0300
Step 3019 (199 ms) -- loss_pure: 0.4586, loss: 23538.0742, learning_rate: 0.0300
Step 3020 (185 ms) -- loss_pure: 0.5401, loss: 23536.7441, learning_rate: 0.0300
Step 3021 (200 ms) -- loss_pure: 0.5673, loss: 23535.3594, learning_rate: 0.0300
Step 3022 (163 ms) -- loss_pure: 0.4855, loss: 23533.8652, learning_rate: 0.0300
Step 3023 (167 ms) -- loss_pure: 0.5400, loss: 23532.5039, learning_rate: 0.0300
Step 3024 (188 ms) -- loss_pure: 0.7035, loss: 23531.2578, learning_rate: 0.0300
Step 3025 (196 ms) -- loss_pure: 0.5673, loss: 23529.7090, learning_rate: 0.0300
Step 3026 (201 ms) -- loss_pure: 0.5673, loss: 23528.2969, learning_rate: 0.0300
Step 3027 (182 ms) -- loss_pure: 0.5946, loss: 23526.9121, learning_rate: 0.0300
Step 3028 (182 ms) -- loss_pure: 0.4856, loss: 23525.3926, learning_rate: 0.0300
Step 3029 (191 ms) -- loss_pure: 0.5399, loss: 23524.0352, learning_rate: 0.0300
Step 3030 (190 ms) -- loss_pure: 0.5672, loss: 23522.6504, learning_rate: 0.0300
Step 3031 (197 ms) -- loss_pure: 0.4853, loss: 23521.1582, learning_rate: 0.0300
Step 3032 (218 ms) -- loss_pure: 0.3758, loss: 23519.6367, learning_rate: 0.0300
Step 3033 (182 ms) -- loss_pure: 0.4302, loss: 23518.2812, learning_rate: 0.0300
Step 3034 (195 ms) -- loss_pure: 0.5397, loss: 23516.9785, learning_rate: 0.0300
Step 3035 (179 ms) -- loss_pure: 0.5670, loss: 23515.5918, learning_rate: 0.0300
Step 3036 (193 ms) -- loss_pure: 0.5396, loss: 23514.1562, learning_rate: 0.0300
Step 3037 (200 ms) -- loss_pure: 0.6220, loss: 23512.8262, learning_rate: 0.0300
Step 3038 (167 ms) -- loss_pure: 0.4572, loss: 23511.2520, learning_rate: 0.0300
Step 3039 (169 ms) -- loss_pure: 0.5945, loss: 23509.9746, learning_rate: 0.0300
Step 3040 (182 ms) -- loss_pure: 0.4847, loss: 23508.4570, learning_rate: 0.0300
Step 3041 (174 ms) -- loss_pure: 0.5120, loss: 23507.0723, learning_rate: 0.0300
Step 3042 (190 ms) -- loss_pure: 0.5945, loss: 23505.7441, learning_rate: 0.0300
Step 3043 (202 ms) -- loss_pure: 0.4842, loss: 23504.2207, learning_rate: 0.0300
Step 3044 (183 ms) -- loss_pure: 0.5669, loss: 23502.8945, learning_rate: 0.0300
Step 3045 (180 ms) -- loss_pure: 0.5115, loss: 23501.4277, learning_rate: 0.0300
Step 3046 (174 ms) -- loss_pure: 0.5944, loss: 23500.1016, learning_rate: 0.0300
Step 3047 (171 ms) -- loss_pure: 0.4839, loss: 23498.5801, learning_rate: 0.0300
